text,reading,english,level,length,kanji_ratio
これまで頑張りました。,これまでがんばりました。,I've worked hard so far.,N5,11,0.18
これほど難しい問題はありません。,これほどむずかしいもんだいはありません。,There is no more difficult problem than this.,N5,16,0.19
これだけあれば十分です。,これだけあればじゅうぶんです。,This is enough.,N5,12,0.17
これくらいの大きさがいいです。,これくらいのおおきさがいいです。,This size is better.,N5,15,0.07
これぐらいの値段なら買います。,これぐらいのねだんならかいます。,I'll buy a price of this kind.,N5,15,0.2
これほどのことはありません。,これほどのことはありません。,Nothing like this.,N5,14,0.0
これほどの人は見たことがありません。,これほどのひとはみたことがありません。,I've never seen such a person like this before.,N5,18,0.11
これほどの経験はありません。,これほどのけいけんはありません。,I haven't had this much experience.,N5,14,0.14
ここに車を止めてください。,ここにくるまをとめてください。,Please park your car here.,N5,13,0.15
あそこに座ってもいいですか。,あそこにすわってもいいですか。,May I sit over there?,N5,14,0.07
写真を撮ってはいけません。,しゃしんをとってはいけません。,Don't take pictures.,N5,13,0.23
窓を開けてもいいですか。,まどをあけてもいいですか。,May I open the window?,N5,12,0.17
テレビを消してください。,てれびをけしてください。,Please turn off the TV.,N5,12,0.08
ドアを閉めてもいいですか。,どあをしめてもいいですか。,May I close the door?,N5,13,0.08
電気をつけてください。,でんきをつけてください。,Turn on the light.,N5,11,0.18
ここで煙草を吸わないでください。,ここでたばこをすわないでください。,Please don't smoke here.,N5,16,0.19
お酒を飲みすぎないでください。,おさけをのみすぎないでください。,Don't drink too much.,N5,15,0.13
宿題を忘れないでください。,しゅくだいをわすれないでください。,Don't forget your homework.,N5,13,0.23
明日早く来てください。,あすはやくきてください。,Please come early tomorrow.,N5,11,0.36
ゆっくり休んでください。,ゆっくりやすんでください。,Please rest slowly.,N5,12,0.08
もっと食べてください。,もっとたべてください。,Please eat more.,N5,11,0.09
ちょっと待ってください。,ちょっとまってください。,Wait a minute.,N5,12,0.08
名前を書いてください。,なまえをかいてください。,Please write down your name.,N5,11,0.27
住所を教えてください。,じゅうしょをおしえてください。,Give me your address.,N5,11,0.27
電話番号を教えてください。,でんわばんごうをおしえてください。,Please give me your phone number.,N5,13,0.38
地図を書いてください。,ちずをかいてください。,Please draw a map.,N5,11,0.27
本を貸してください。,ほんをかしてください。,Please lend me your book.,N5,10,0.2
傘を貸してください。,かさをかしてください。,Please lend me your umbrella.,N5,10,0.2
お金を貸してください。,おかねをかしてください。,Please lend me your money.,N5,11,0.18
辞書を見せてください。,じしょをみせてください。,Please show me your dictionary.,N5,11,0.27
写真を見せてください。,しゃしんをみせてください。,Please show me the picture.,N5,11,0.27
パスポートを見せてください。,ぱすぽーとをみせてください。,Please show me your passport.,N5,14,0.07
切符を見せてください。,きっぷをみせてください。,Please show me your ticket.,N5,11,0.27
荷物を運んでください。,にもつをはこんでください。,Please carry your baggage.,N5,11,0.27
手伝ってください。,てつだってください。,Please help me.,N5,9,0.22
教えてください。,おしえてください。,Tell me.,N5,8,0.12
話してください。,はなしてください。,Please tell me.,N5,8,0.12
聞いてください。,きいてください。,Listen to me.,N5,8,0.12
見てください。,みてください。,Look at that.,N5,7,0.14
読んでください。,よんでください。,Please read it.,N5,8,0.12
書いてください。,かいてください。,Please write it down.,N5,8,0.12
歌ってください。,うたってください。,Please sing.,N5,8,0.12
踊ってください。,おどってください。,Please dance.,N5,8,0.12
笑ってください。,わらってください。,Smile.,N5,8,0.12
呼んでください。,よんでください。,Please call me.,N5,8,0.12
並んでください。,ならんでください。,Please line up.,N5,8,0.12
急いでください。,いそいでください。,Hurry up.,N5,8,0.12
頑張ってください。,がんばってください。,Good luck with that.,N5,9,0.22
気をつけてください。,きをつけてください。,Please be careful.,N5,10,0.1
お大事にしてください。,おだいじにしてください。,Please take care of yourself.,N5,11,0.18
楽しんでください。,たのしんでください。,Have fun.,N5,9,0.11
思い出してください。,おもいだしてください。,Please remember.,N5,10,0.2
忘れてください。,わすれてください。,Forget it.,N5,8,0.12
捨ててください。,すててください。,Please throw it away.,N5,8,0.12
置いてください。,おいてください。,Please put it down.,N5,8,0.12
持ってきてください。,もってきてください。,Please bring it.,N5,10,0.1
連れてきてください。,つれてきてください。,Please bring her to me.,N5,10,0.1
送ってください。,おくってください。,Please send me.,N5,8,0.12
田中さんは今、本を読んでいます。,たなかさんはいま、ほんをよんでいます。,Mr. Tanaka is reading a book now.,N5,16,0.31
母は今、料理を作っています。,はははいま、りょうりをつくっています。,My mother is cooking now.,N5,14,0.36
父は今、テレビを見ています。,ちちはいま、てれびをみています。,My father is watching TV now.,N5,14,0.21
弟は今、勉強しています。,おとうとはいま、べんきょうしています。,My brother is studying now.,N5,12,0.33
妹は今、寝ています。,いもうとはいま、ねています。,My sister is asleep now.,N5,10,0.3
兄は今、音楽を聞いています。,あにはいま、おんがくをきいています。,My brother is listening to music now.,N5,14,0.36
姉は今、電話をかけています。,あねはいま、でんわをかけています。,My sister is making a phone call now.,N5,14,0.29
友達は今、歩いています。,ともだちはいま、あるいています。,My friend is walking now.,N5,12,0.33
先生は今、話しています。,せんせいはいま、はなしています。,The teacher is talking now.,N5,12,0.33
学生は今、聞いています。,がくせいはいま、きいています。,Students are listening now.,N5,12,0.33
子供は今、遊んでいます。,こどもはいま、あそんでいます。,The child is playing now.,N5,12,0.33
赤ちゃんは今、泣いています。,あかちゃんはいま、ないています。,The baby is crying now.,N5,14,0.21
猫は今、走っています。,ねこはいま、はしっています。,Cats are running now.,N5,11,0.27
犬は今、吠えています。,いぬはいま、ほえています。,The dog is barking now.,N5,11,0.27
鳥は今、飛んでいます。,とりはいま、とんでいます。,The bird is flying now.,N5,11,0.27
魚は今、泳いでいます。,さかなはいま、およいでいます。,The fish are swimming now.,N5,11,0.27
雨が今、降っています。,あめがいま、ふっています。,It's raining now.,N5,11,0.27
雪が今、降っています。,ゆきがいま、ふっています。,It's snowing now.,N5,11,0.27
風が今、吹いています。,かぜがいま、ふいています。,The wind is blowing now.,N5,11,0.27
花が今、咲いています。,はながいま、さいています。,The flowers are now blooming.,N5,11,0.27
電車が今、来ます。,でんしゃがいま、きます。,The train is coming now.,N5,9,0.44
バスが今、行きます。,ばすがいま、いきます。,The bus is coming now.,N5,10,0.2
タクシーが今、止まります。,たくしーがいま、とまります。,The taxi will stop now.,N5,13,0.15
飛行機が今、飛びます。,ひこうきがいま、とびます。,The plane is going to fly now.,N5,11,0.45
船が今、着きます。,ふねがいま、つきます。,The ship is arriving now.,N5,9,0.33
仕事が今、終わります。,しごとがいま、おわります。,The work is finished now.,N5,11,0.36
学校が今、始まります。,がっこうがいま、はじまります。,School begins now.,N5,11,0.36
映画が今、始まります。,えいががいま、はじまります。,The movie will start now.,N5,11,0.36
テストが今、終わります。,てすとがいま、おわります。,The test is now over.,N5,12,0.17
休みが今、終わります。,やすみがいま、おわります。,The holidays are over now.,N5,11,0.27
喉が渇きました。,のどがかわきました。,I'm thirsty.,N5,8,0.25
お腹が空きました。,おなかがあきました。,I'm hungry.,N5,9,0.22
お腹がいっぱいです。,おなかがいっぱいです。,I'm full.,N5,10,0.1
頭が痛いです。,あたまがいたいです。,My head hurts.,N5,7,0.29
歯が痛いです。,はがいたいです。,My teeth hurt.,N5,7,0.29
足が痛いです。,あしがいたいです。,My feet hurt.,N5,7,0.29
手が痛いです。,てがいたいです。,My hand hurts.,N5,7,0.29
目が痛いです。,めがいたいです。,My eyes hurt.,N5,7,0.29
耳が痛いです。,みみがいたいです。,My ear hurts.,N5,7,0.29
鼻が痛いです。,はながいたいです。,My nose hurts.,N5,7,0.29
喉が痛いです。,のどがいたいです。,I have a sore throat.,N5,7,0.29
背中が痛いです。,せなかがいたいです。,My back hurts.,N5,8,0.38
腰が痛いです。,こしがいたいです。,My back hurts.,N5,7,0.29
風邪を引きました。,かぜをひきました。,I've caught a cold.,N5,9,0.33
熱があります。,ねつがあります。,I have a fever.,N5,7,0.14
咳が出ます。,せきがでます。,I have a cough.,N5,6,0.33
鼻水が出ます。,はなみずがでます。,I have a nosebleed.,N5,7,0.43
元気があります。,げんきがあります。,I'm fine.,N5,8,0.25
元気がありません。,げんきがありません。,I'm not feeling well.,N5,9,0.22
勇気があります。,ゆうきがあります。,You have courage.,N5,8,0.25
自信があります。,じしんがあります。,I'm confident.,N5,8,0.25
希望があります。,きぼうがあります。,There is hope.,N5,8,0.25
夢があります。,ゆめがあります。,I have a dream.,N5,7,0.14
愛があります。,あいがあります。,I have love.,N5,7,0.14
心があります。,こころがあります。,I have a heart.,N5,7,0.14
気持ちがいいです。,きもちがいいです。,It feels good.,N5,9,0.22
気持ちが悪いです。,きもちがわるいです。,I don't feel well.,N5,9,0.33
気分がいいです。,きぶんがいいです。,I feel good.,N5,8,0.25
気分が悪いです。,きぶんがわるいです。,I don't feel well.,N5,8,0.38
都合がいいです。,つごうがいいです。,It's convenient.,N5,8,0.25
都合が悪いです。,つごうがわるいです。,It's not convenient.,N5,8,0.38
運がいいです。,うんがいいです。,You're lucky.,N5,7,0.14
運が悪いです。,うんがわるいです。,It's bad luck.,N5,7,0.29
頭がいいです。,あたまがいいです。,You're smart.,N5,7,0.14
頭が悪いです。,あたまがわるいです。,I'm not smart.,N5,7,0.29
顔がいいです。,かおがいいです。,You have a nice face.,N5,7,0.14
顔が悪いです。,かおがわるいです。,My face is bad.,N5,7,0.29
声がいいです。,こえがいいです。,I like your voice.,N5,7,0.14
声が悪いです。,こえがわるいです。,My voice is bad.,N5,7,0.29
耳がいいです。,みみがいいです。,I have good ears.,N5,7,0.14
耳が悪いです。,みみがわるいです。,My ears are bad.,N5,7,0.29
目がいいです。,めがいいです。,Your eyes are good.,N5,7,0.14
目が悪いです。,めがわるいです。,My eyes are bad.,N5,7,0.29
鼻がいいです。,はながいいです。,I have a good nose.,N5,7,0.14
鼻が悪いです。,はながわるいです。,My nose is bad.,N5,7,0.29
口がいいです。,くちがいいです。,I'm a good speaker.,N5,7,0.14
口が悪いです。,くちがわるいです。,You're not very good at talking.,N5,7,0.29
手が長いです。,てがながいです。,I have a long hand.,N5,7,0.29
手が短いです。,てがみじかいです。,My hands are short.,N5,7,0.29
足が長いです。,あしがながいです。,I have long legs.,N5,7,0.29
足が短いです。,あしがみじかいです。,My feet are short.,N5,7,0.29
背が高いです。,せがたかいです。,He's tall.,N5,7,0.29
背が低いです。,せがひくいです。,He's short.,N5,7,0.29
髪が長いです。,かみがながいです。,My hair is long.,N5,7,0.29
髪が短いです。,かみがみじかいです。,My hair is short.,N5,7,0.29
髪が黒いです。,かみがくろいです。,My hair is black.,N5,7,0.29
髪が白いです。,かみがしろいです。,My hair is white.,N5,7,0.29
髪が茶色いです。,かみがちゃいろいです。,My hair is brown.,N5,8,0.38
肌が白いいです。,はだがしろいいです。,My skin is white.,N5,8,0.25
肌が黒いです。,はだがくろいです。,My skin is black.,N5,7,0.29
体力がつきました。,たいりょくがつきました。,My strength has grown.,N5,9,0.22
力がつきました。,ちからがつきました。,I've got strength.,N5,8,0.12
技が磨きました。,わざがみがきました。,I've refined my skill.,N5,8,0.25
心が落ち着きました。,こころがおちつきました。,I'm calming down.,N5,10,0.3
言葉を覚えました。,ことばをおぼえました。,I learned words.,N5,9,0.33
漢字を覚えました。,かんじをおぼえました。,I've learned Chinese characters.,N5,9,0.33
文法を覚えました。,ぶんぽうをおぼえました。,I've learned grammar.,N5,9,0.33
単語を覚えました。,たんごをおぼえました。,I learned the words.,N5,9,0.33
意味を調べました。,いみをしらべました。,I looked into the meaning.,N5,9,0.33
辞書を引きました。,じしょをひきました。,I drew a dictionary.,N5,9,0.33
日本語が上手になりました。,にっぽんごがじょうずになりました。,I've become good at Japanese.,N5,13,0.38
日本語が下手になりました。,にっぽんごがへたになりました。,I've become bad at Japanese.,N5,13,0.38
料理が上手になりました。,りょうりがじょうずになりました。,I've become a good cook.,N5,12,0.33
料理が下手になりました。,りょうりがへたになりました。,I'm not good at cooking.,N5,12,0.33
歌が上手になりました。,うたがじょうずになりました。,I've become good at singing.,N5,11,0.27
歌が下手になりました。,うたがへたになりました。,I'm not good at singing.,N5,11,0.27
踊りが上手になりました。,おどりがじょうずになりました。,I've become a good dancer.,N5,12,0.25
踊りが下手になりました。,おどりがへたになりました。,I'm not good at dancing.,N5,12,0.25
絵が上手になりました。,えがじょうずになりました。,I've become good at painting.,N5,11,0.27
絵が下手になりました。,えがへたになりました。,I'm not good at painting.,N5,11,0.27
ピアノが上手になりました。,ぴあのがじょうずになりました。,I've become good at playing the piano.,N5,13,0.15
ピアノが下手になりました。,ぴあのがへたになりました。,I've got a bad piano.,N5,13,0.15
ギターが上手になりました。,ぎたーがじょうずになりました。,I've become a good guitar player.,N5,13,0.15
ギターが下手になりました。,ぎたーがへたになりました。,I've got a bad guitar.,N5,13,0.15
スポーツが上手になりました。,すぽーつがじょうずになりました。,I've become good at sports.,N5,14,0.14
スポーツが下手になりました。,すぽーつがへたになりました。,I'm not good at sports.,N5,14,0.14
サッカーが上手になりました。,さっかーがじょうずになりました。,I've become good at soccer.,N5,14,0.14
野球が上手になりました。,やきゅうがじょうずになりました。,I've become good at baseball.,N5,12,0.33
テニスが上手になりました。,てにすがじょうずになりました。,I've become good at tennis.,N5,13,0.15
泳ぐのが上手になりました。,およぐのがじょうずになりました。,I've become a good swimmer.,N5,13,0.23
走るのが上手になりました。,はしるのがじょうずになりました。,I've become good at running.,N5,13,0.23
書くのが上手になりました。,かくのがじょうずになりました。,I've become good at writing.,N5,13,0.23
読むのが上手になりました。,よむのがじょうずになりました。,I've become good at reading.,N5,13,0.23
話すのが上手になりました。,はなすのがじょうずになりました。,I've become good at talking.,N5,13,0.23
聞くのが上手になりました。,きくのがじょうずになりました。,I've become good at listening.,N5,13,0.23
作るのが上手になりました。,つくるのがじょうずになりました。,I've become good at making.,N5,13,0.23
使うのが上手になりました。,つかうのがじょうずになりました。,I've become good at using it.,N5,13,0.23
覚えるのが上手になりました。,おぼえるのがじょうずになりました。,I've become good at remembering.,N5,14,0.21
忘れるのが上手になりました。,わすれるのがじょうずになりました。,I've become better at forgetting.,N5,14,0.21
考えるのが上手になりました。,かんがえるのがじょうずになりました。,I've become good at thinking.,N5,14,0.21
教えるのが上手になりました。,おしえるのがじょうずになりました。,I've become good at teaching.,N5,14,0.21
習うのが上手になりました。,ならうのがじょうずになりました。,I've become good at learning.,N5,13,0.23
遊ぶのが上手になりました。,あそぶのがじょうずになりました。,I've become good at playing.,N5,13,0.23
働くのが上手になりました。,はたらくのがじょうずになりました。,I've become good at working.,N5,13,0.23
休むのが上手になりました。,やすむのがじょうずになりました。,I've become better at resting.,N5,13,0.23
寝るのが上手になりました。,ねるのがじょうずになりました。,I've become good at sleeping.,N5,13,0.23
起きるのが上手になりました。,おきるのがじょうずになりました。,I'm getting better at getting up.,N5,14,0.21
食べるのが上手になりました。,たべるのがじょうずになりました。,I've become good at eating.,N5,14,0.21
飲むのが上手になりました。,のむのがじょうずになりました。,I've become good at drinking.,N5,13,0.23
買うのが上手になりました。,かうのがじょうずになりました。,I've become better at buying.,N5,13,0.23
売るのが上手になりました。,うるのがじょうずになりました。,I've become good at selling.,N5,13,0.23
貸すのが上手になりました。,かすのがじょうずになりました。,I've become better at lending.,N5,13,0.23
借りるのが上手になりました。,かりるのがじょうずになりました。,I've become better at borrowing.,N5,14,0.21
あげるのが上手になりました。,あげるのがじょうずになりました。,I'm getting better at giving it to you.,N5,14,0.14
もらうのが上手になりました。,もらうのがじょうずになりました。,I'm getting better at getting it.,N5,14,0.14
送るのが上手になりました。,おくるのがじょうずになりました。,I'm getting better at sending it.,N5,13,0.23
受け取るのが上手になりました。,うけとるのがじょうずになりました。,I've become better at accepting it.,N5,15,0.27
会うのが上手になりました。,あうのがじょうずになりました。,I've become better at seeing him.,N5,13,0.23
分かれるのが上手になりました。,わかれるのがじょうずになりました。,I'm getting better at separating.,N5,15,0.2
始まるのが上手になりました。,はじまるのがじょうずになりました。,I'm getting better at starting.,N5,14,0.21
終わるのが上手になりました。,おわるのがじょうずになりました。,I've become better at ending things.,N5,14,0.21
入るのが上手になりました。,はいるのがじょうずになりました。,I've become better at getting in.,N5,13,0.23
出るのが上手になりました。,でるのがじょうずになりました。,I'm getting better at getting out.,N5,13,0.23
上がるのが上手になりました。,あがるのがじょうずになりました。,I've become good at climbing.,N5,14,0.21
下がるのが上手になりました。,さがるのがじょうずになりました。,I've become good at falling back.,N5,14,0.21
乗るのが上手になりました。,のるのがじょうずになりました。,I've become good at riding.,N5,13,0.23
降りるのが上手になりました。,おりるのがじょうずになりました。,I've become better at getting off.,N5,14,0.21
つくのが上手になりました。,つくのがじょうずになりました。,I've become good at it.,N5,13,0.15
消えるのが上手になりました。,きえるのがじょうずになりました。,I've become better at disappearing.,N5,14,0.21
開くのが上手になりました。,ひらくのがじょうずになりました。,I'm getting better at opening it.,N5,13,0.23
閉まるのが上手になりました。,しまるのがじょうずになりました。,I'm good at closing it.,N5,14,0.21
壊れるのが上手になりました。,こわれるのがじょうずになりました。,I've become good at breaking.,N5,14,0.21
直るのが上手になりました。,なおるのがじょうずになりました。,I'm better at fixing things.,N5,13,0.23
汚れるのが上手になりました。,よごれるのがじょうずになりました。,I'm good at getting dirty.,N5,14,0.21
きれいになるのが上手になりました。,きれいになるのがじょうずになりました。,I'm good at getting clean.,N5,17,0.12
新しくなるのが上手になりました。,あたらしくなるのがじょうずになりました。,I've become good at new things.,N5,16,0.19
古くなるのが上手になりました。,ふるくなるのがじょうずになりました。,I'm good at getting old.,N5,15,0.2
高くなるのが上手になりました。,たかくなるのがじょうずになりました。,I've become good at getting expensive.,N5,15,0.2
安くなるのが上手になりました。,やすくなるのがじょうずになりました。,I'm able to make it cheap.,N5,15,0.2
広くなるのが上手になりました。,ひろくなるのがじょうずになりました。,I'm getting better at spreading.,N5,15,0.2
狭くなるのが上手になりました。,せまくなるのがじょうずになりました。,I'm better at narrowing it down.,N5,15,0.2
明るくなるのが上手になりました。,あかるくなるのがじょうずになりました。,I'm getting better at getting bright.,N5,16,0.19
暗くなるのが上手になりました。,くらくなるのがじょうずになりました。,I've become better at getting dark.,N5,15,0.2
暑くなるのが上手になりました。,あつくなるのがじょうずになりました。,I'm good at getting hot.,N5,15,0.2
寒くなるのが上手になりました。,さむくなるのがじょうずになりました。,I've become better at getting cold.,N5,15,0.2
暖かくなるのが上手になりました。,あたたかくなるのがじょうずになりました。,I'm good at getting warm.,N5,16,0.19
涼しくなるのが上手になりました。,すずしくなるのがじょうずになりました。,I'm getting better at being cool.,N5,16,0.19
強くなるのが上手になりました。,つよくなるのがじょうずになりました。,I've become better at getting stronger.,N5,15,0.2
弱くなるのが上手になりました。,よわくなるのがじょうずになりました。,I've become better at becoming weak.,N5,15,0.2
速くなるのが上手になりました。,はやくなるのがじょうずになりました。,I'm getting better at getting faster.,N5,15,0.2
遅くなるのが上手になりました。,おそくなるのがじょうずになりました。,I'm better at getting late.,N5,15,0.2
大きくなるのが上手になりました。,おおきくなるのがじょうずになりました。,I'm good at getting older.,N5,16,0.19
小さくなるのが上手になりました。,ちいさくなるのがじょうずになりました。,I've become good at getting smaller.,N5,16,0.19
多くなるのが上手になりました。,おおくなるのがじょうずになりました。,I'm getting better at getting more.,N5,15,0.2
少なくなるのが上手になりました。,すくなくなるのがじょうずになりました。,I'm getting better at getting fewer.,N5,16,0.19
遠くなるのが上手になりました。,とおくなるのがじょうずになりました。,I've become good at getting far.,N5,15,0.2
近くなるのが上手になりました。,ちかくなるのがじょうずになりました。,I've become better at getting close.,N5,15,0.2
良くなるのが上手になりました。,よくなるのがじょうずになりました。,I'm getting better.,N5,15,0.2
悪くなるのが上手になりました。,わるくなるのがじょうずになりました。,I've become good at making it worse.,N5,15,0.2
易しくなるのが上手になりました。,やさしくなるのがじょうずになりました。,I'm getting better at making it easier.,N5,16,0.19
難しくなるのが上手になりました。,むずかしくなるのがじょうずになりました。,I've become better at making things harder.,N5,16,0.19
甘くなるのが上手になりました。,あまくなるのがじょうずになりました。,I've become good at being sweet.,N5,15,0.2
辛くなるのが上手になりました。,つらくなるのがじょうずになりました。,I've become better at getting tough.,N5,15,0.2
苦くなるのが上手になりました。,にがくなるのがじょうずになりました。,I've become good at making it hard.,N5,15,0.2
酸っぱくなるのが上手になりました。,すっぱくなるのがじょうずになりました。,I've become good at getting sour.,N5,17,0.18
塩辛くなるのが上手になりました。,しおからくなるのがじょうずになりました。,I've become better at getting salty.,N5,16,0.25
熱くなるのが上手になりました。,あつくなるのがじょうずになりました。,I'm good at getting hot.,N5,15,0.2
冷たくなるのが上手になりました。,つめたくなるのがじょうずになりました。,I'm good at getting cold.,N5,16,0.19
白くなるのが上手になりました。,しろくなるのがじょうずになりました。,I've become good at becoming white.,N5,15,0.2
黒くなるのが上手になりました。,くろくなるのがじょうずになりました。,I've become better at getting black.,N5,15,0.2
赤くなるのが上手になりました。,あかくなるのがじょうずになりました。,I'm getting better at red.,N5,15,0.2
青くなるのが上手になりました。,あおくなるのがじょうずになりました。,I've become better at turning blue.,N5,15,0.2
黄色くなるのが上手になりました。,きいろくなるのがじょうずになりました。,I've become good at turning yellow.,N5,16,0.25
茶色くなるのが上手になりました。,ちゃいろくなるのがじょうずになりました。,I'm better at turning brown.,N5,16,0.25
緑になるのが上手になりました。,みどりになるのがじょうずになりました。,I've become good at turning green.,N5,15,0.2
紫になるのが上手になりました。,むらさきになるのがじょうずになりました。,I've become good at purple.,N5,15,0.2
オレンジになるのが上手になりました。,おれんじになるのがじょうずになりました。,I've become good at becoming an orange.,N5,18,0.11
ピンクになるのが上手になりました。,ぴんくになるのがじょうずになりました。,I've become good at pink.,N5,17,0.12
グレーになるのが上手になりました。,ぐれーになるのがじょうずになりました。,I've become good at graying.,N5,17,0.12
金になるのが上手になりました。,かねになるのがじょうずになりました。,I've become good at making money.,N5,15,0.2
銀になるのが上手になりました。,ぎんになるのがじょうずになりました。,I've become good at becoming silver.,N5,15,0.2
色とりどりになるのが上手になりました。,いろとりどりになるのがじょうずになりました。,I've become better at becoming more colorful.,N5,19,0.16
忙しくなるのが上手になりました。,いそがしくなるのがじょうずになりました。,I've become better at getting busy.,N5,16,0.19
暇になるのが上手になりました。,ひまになるのがじょうずになりました。,I'm good at free time.,N5,15,0.2
賑やかになるのが上手になりました。,にぎやかになるのがじょうずになりました。,I've become very good at it.,N5,17,0.18
静かになるのが上手になりました。,しずかになるのがじょうずになりました。,I'm good at quieting.,N5,16,0.19
便利になるのが上手になりました。,べんりになるのがじょうずになりました。,I'm good at making it convenient.,N5,16,0.25
不便になるのが上手になりました。,ふべんになるのがじょうずになりました。,I've become very good at inconveniences.,N5,16,0.25
親切になるのが上手になりました。,しんせつになるのがじょうずになりました。,I've become very good at being kind.,N5,16,0.25
不親切になるのが上手になりました。,ふしんせつになるのがじょうずになりました。,I've become very good at being unkind.,N5,17,0.29
上手になるのが上手になりました。,じょうずになるのがじょうずになりました。,I'm getting good at it.,N5,16,0.25
下手になるのが上手になりました。,へたになるのがじょうずになりました。,I'm getting better at being bad at it.,N5,16,0.25
得意になるのが上手になりました。,とくいになるのがじょうずになりました。,I'm getting good at it.,N5,16,0.25
苦手になるのが上手になりました。,にがてになるのがじょうずになりました。,I've become good at making it difficult.,N5,16,0.25
好きになるのが上手になりました。,すきになるのがじょうずになりました。,I've become good at falling in love.,N5,16,0.19
嫌いになるのが上手になりました。,きらいになるのがじょうずになりました。,I've become very good at hating people.,N5,16,0.19
大切になるのが上手になりました。,たいせつになるのがじょうずになりました。,I've become very good at becoming important.,N5,16,0.25
必要になるのが上手になりました。,ひつようになるのがじょうずになりました。,I'm getting good at what I need.,N5,16,0.25
暇になるのが上手になりました。,ひまになるのがじょうずになりました。,I'm good at free time.,N5,15,0.2
元気になりました。,げんきになりました。,I'm feeling better.,N5,9,0.22
病気になりました。,びょうきになりました。,I'm sick.,N5,9,0.22
綺麗になりました。,きれいになりました。,You look beautiful.,N5,9,0.22
有名になりました。,ゆうめいになりました。,I became famous.,N5,9,0.22
立派になりました。,りっぱになりました。,I'm so proud of you.,N5,9,0.22
複雑になりました。,ふくざつになりました。,It's become complicated.,N5,9,0.22
簡単になりました。,かんたんになりました。,It's getting easier.,N5,9,0.22
特別になりました。,とくべつになりました。,It's become special.,N5,9,0.22
普通になりました。,ふつうになりました。,It's become normal.,N5,9,0.22
変になりました。,へんになりました。,I've become weird.,N5,8,0.12
不思議になりました。,ふしぎになりました。,I was curious.,N5,10,0.3
幸せになりました。,しあわせになりました。,I'm happy.,N5,9,0.11
不幸せになりました。,ふしあわせになりました。,I became unhappy.,N5,10,0.2
楽になりました。,らくになりました。,It's getting easier.,N5,8,0.12
大変になりました。,たいへんになりました。,It's become difficult.,N5,9,0.22
無理になりました。,むりになりました。,I couldn't do it.,N5,9,0.22
可能になりました。,かのうになりました。,It's become possible.,N5,9,0.22
以上で、N5の例文は終わりです。,いじょうで、N5のれいぶんはおわりです。,That's the end of the N5 example sentence.,N5,16,0.31
リンゴより蜜柑の方が好きです。,りんごよりみかんのほうがすきです。,I like honey better than apples.,N5,15,0.27
日本は韓国より広いです。,にっぽんはかんこくよりひろいです。,Japan is larger than Korea.,N5,12,0.42
この鞄はあの鞄より軽いです。,このかばんはあのかばんよりかるいです。,This bag is lighter than that bag.,N5,14,0.21
今日は昨日より暑いです。,きょうはきのうよりあついです。,It's hoter today than yesterday.,N5,12,0.42
漢字はひらがなより難しいです。,かんじはひらがなよりむずかしいです。,The characters are harder than the twists.,N5,15,0.2
バスは電車より遅いです。,ばすはでんしゃよりおそいです。,The bus is slower than the train.,N5,12,0.25
兄は父より背が高いです。,あにはちちよりせがたかいです。,My brother is taller than my father.,N5,12,0.33
コーヒーに砂糖を入れます。,こーひーにさとうをいれます。,I put sugar in my coffee.,N5,13,0.23
紅茶にミルクを入れますか。,こうちゃにみるくをいれますか。,Would you like to put milk in your tea?,N5,13,0.23
財布の中に千円しかありません。,さいふのなかにせんえんしかありません。,"There are only 1,000 yen in the wallet.",N5,15,0.33
教室に学生が一人しかいません。,きょうしつにがくせいがひとりしかいません。,There is only one student in the classroom.,N5,15,0.4
日本語を少ししか話せません。,にっぽんごをすこししかはなせません。,I can speak only a little Japanese.,N5,14,0.36
昨日は三時間しか寝ませんでした。,きのうはさんじかんしかねませんでした。,I slept only three hours yesterday.,N5,16,0.38
朝ご飯はパンしか食べません。,あさごはんはぱんしかたべません。,I only eat bread for breakfast.,N5,14,0.21
これは昨日買った本です。,これはきのうかったほんです。,This is the book I bought yesterday.,N5,12,0.33
あそこにいる人は田中さんです。,あそこにいるひとはたなかさんです。,The person over there is Mr Tanaka.,N5,15,0.2
母が作った料理は美味しいです。,ははがつくったりょうりはおいしいです。,The food my mother made is delicious.,N5,15,0.4
昨日見た映画は長かったです。,きのうみたえいがはながかったです。,The movie I saw yesterday was long.,N5,14,0.43
わたしが住んでいる町は静かです。,わたしがすんでいるまちはしずかです。,The town where I live is quiet.,N5,16,0.19
これは父からもらった時計です。,これはちちからもらったとけいです。,This is the watch my father gave me.,N5,15,0.2
田中さんが書いた手紙を読みました。,たなかさんがかいたてがみをよみました。,I read a letter written by Mr. Tanaka.,N5,17,0.35
あそこで寝ている猫は白黒です。,あそこでねているねこはしろくろです。,The cat sleeping over there is black and white.,N5,15,0.27
泳ぐことが大好きです。,およぐことがだいすきです。,I love swimming.,N5,11,0.27
料理を作ることが得意です。,りょうりをつくることがとくいです。,I'm good at cooking.,N5,13,0.38
音楽を聞くのが趣味です。,おんがくをきくのがしゅみです。,I like listening to music.,N5,12,0.42
漢字を書くのは難しいです。,かんじをかくのはむずかしいです。,It's difficult to write a character.,N5,13,0.31
写真を撮るのが上手ですね。,しゃしんをとるのがじょうずですね。,"You're good at taking pictures, aren't you?",N5,13,0.38
